,username,user_id,user_watching,user_completed,user_onhold,user_dropped,user_plantowatch,user_days_spent_watching,gender,location,birth_date,access_rank,join_date,last_online,stats_mean_score,stats_rewatched,stats_episodes,join_year,age
11623,soultaker680,20541,4,37,0,0,2,13.873611111111112,Male,GA,1985-04-29,,2007-11-06 00:00:00,2010-08-19 11:59:00,9.63,0.0,812,2007,36.4910743620633
92914,MatthewDay,1426327,8,62,10,10,230,28.088194444444444,Male,OH,1998-04-17,,2012-07-29 00:00:00,2015-05-19 23:01:00,7.96,14.0,1716,2012,23.52425802212244
98181,PiercerofHeaven,2122553,8,213,8,4,20,94.85347222222222,Male,MI,1991-11-17,,2013-02-01 00:00:00,2018-05-04 22:27:44,8.04,50.0,5681,2013,29.939218048406527
94973,deagosane,1486631,7,355,36,73,104,133.73125,Male,OK,1993-08-24,,2012-08-30 00:00:00,2017-08-13 19:26:00,7.18,0.0,7973,2012,28.17051801555142
50184,angermanaged,224902,5,68,1,1,14,39.92638888888889,Male,IL,1990-07-05,,2009-08-23 00:00:00,2012-02-19 17:26:00,6.61,0.0,2361,2009,31.308180922133392
30443,Wordman,280,7,172,27,78,4,46.73680555555556,Male,MI,1988-09-28,,2006-03-11 00:00:00,2017-03-25 04:47:00,8.02,5.0,2923,2006,33.07414302924105
31403,T0bifreed,13271,12,19,0,0,0,11.261111111111113,Male,NY,1990-10-19,,2007-09-12 00:00:00,2010-03-18 20:10:00,9.53,16.0,686,2007,31.017960792903295
66639,jbiscuits1,275071,5,152,1,6,67,72.5125,Male,OH,1994-10-27,,2009-12-28 00:00:00,2018-05-20 08:21:00,7.34,5.0,4331,2009,26.99594786989377
104664,faltoo94,1684239,11,172,4,1,8,65.51944444444445,Male,GA,1994-09-25,,2012-10-25 00:00:00,2018-03-27 03:37:39,8.24,0.0,4226,2012,27.083561493812287
42348,loeakaodas,70055,18,191,14,4,243,41.62152777777778,Male,FL,1986-12-01,,2008-06-20 00:00:00,2017-12-27 14:13:00,7.84,0.0,2414,2008,34.90033950279268
41444,infamous321,1808563,2,18,0,0,0,26.15625,Male,NM,1993-02-23,,2012-11-24 00:00:00,2017-02-12 08:53:00,8.11,0.0,1590,2012,28.668820501587998
65639,Rekushisu,1393335,12,45,19,2,15,24.65138888888889,Female,NM,1996-07-01,,2012-07-12 00:00:00,2015-07-24 15:36:00,9.6,0.0,1435,2012,25.317599386704632
20411,Destro1021,47174,12,121,7,25,93,69.33055555555555,Male,CA,1990-10-21,,2008-04-01 00:00:00,2013-06-11 02:43:00,6.17,36.0,4081,2008,31.01248494140839
28323,gundamgrave,213654,9,87,0,0,3,42.90555555555556,Male,IL,1988-08-18,,2009-07-27 00:00:00,2011-12-28 09:07:00,8.52,40.0,2534,2009,33.186397984886646
